"","Kod","Nazwa","Miasta...wieś","Płeć","Przyczyny.zgonów","Rok","Wartosc","Jednostka.miary","Atrybut","X"
"219",0,"POLSKA","wieś","ogółem","nowotwór złośliwy sutka",2024,14.63,"-",NA,NA
"220",0,"POLSKA","wieś","ogółem","nowotwór złośliwy szyjki macicy",2024,2.67,"-",NA,NA
"221",0,"POLSKA","wieś","ogółem","nowotwór złośliwy gruczołu krokowego",2024,14.42,"-",NA,NA
"222",0,"POLSKA","wieś","ogółem","białaczka",2024,6.19,"-",NA,NA
"223",0,"POLSKA","wieś","ogółem","zaburzenia wydzielania wewnętrznego, stanu odżywiania i przemiany metabolicznej",2024,25.37,"-",NA,NA
"224",0,"POLSKA","wieś","ogółem","cukrzyca",2024,23.87,"-",NA,NA
"225",0,"POLSKA","wieś","ogółem","zaburzenia psychiczne i zaburzenia zachowania",2024,13.9,"-",NA,NA
"226",0,"POLSKA","wieś","ogółem","choroby układu nerwowego i narządów zmysłów",2024,18.69,"-",NA,NA
"227",0,"POLSKA","wieś","ogółem","choroba Alzheimera",2024,7.06,"-",NA,NA
"228",0,"POLSKA","wieś","ogółem","choroby układu krążenia",2024,387.13,"-",NA,NA
"229",0,"POLSKA","wieś","ogółem","choroba nadciśnieniowa",2024,32.56,"-",NA,NA
"230",0,"POLSKA","wieś","ogółem","choroba niedokrwienna serca",2024,166.28,"-",NA,NA
"231",0,"POLSKA","wieś","ogółem","ostry zawał serca",2024,24.5,"-",NA,NA
"232",0,"POLSKA","wieś","ogółem","choroby naczyń mózgowych",2024,71.49,"-",NA,NA
"233",0,"POLSKA","wieś","ogółem","miażdżyca",2024,34.27,"-",NA,NA
"234",0,"POLSKA","wieś","ogółem","choroby układu oddechowego",2024,74.17,"-",NA,NA
"235",0,"POLSKA","wieś","ogółem","choroby układu trawiennego",2024,46.34,"-",NA,NA
"236",0,"POLSKA","wieś","ogółem","zwłóknienie i marskość wątroby",2024,4.22,"-",NA,NA
"237",0,"POLSKA","wieś","ogółem","choroby układu moczowo-płciowego",2024,18.53,"-",NA,NA
"238",0,"POLSKA","wieś","ogółem","ciąża, poród i połóg",2024,0,"-",NA,NA
"239",0,"POLSKA","wieś","ogółem","stany rozpoczynające się w okresie okołoporodowym",2024,1.14,"-",NA,NA
"240",0,"POLSKA","wieś","ogółem","wady rozwojowe wrodzone, zniekształcenia i aberracje chromosomowe",2024,1.83,"-",NA,NA
"241",0,"POLSKA","wieś","ogółem","objawy, cechy chorobowe i nieprawidłowe wyniki badań klinicznych i laboratoryjnych",2024,101.29,"-",NA,NA
"242",0,"POLSKA","wieś","ogółem","zewnętrzne przyczyny zgonu",2024,50.8,"-",NA,NA
"243",0,"POLSKA","wieś","ogółem","wypadki komunikacyjne",2024,7.79,"-",NA,NA
"244",0,"POLSKA","wieś","ogółem","samobójstwa",2024,13,"-",NA,NA
"245",0,"POLSKA","wieś","ogółem","brak przyczyny zgonu (opisu) w Karcie Statystycznej do Karty Zgonu",2024,1.37,"-",NA,NA
"246",0,"POLSKA","wieś","mężczyźni","ogółem",2024,1076.1,"-",NA,NA
"247",0,"POLSKA","wieś","mężczyźni","choroby zakaźne i pasożytnicze",2024,5.2,"-",NA,NA
"248",0,"POLSKA","wieś","mężczyźni","gruźlica",2024,1.82,"-",NA,NA
"249",0,"POLSKA","wieś","mężczyźni","nowotwory",2024,291.97,"-",NA,NA
"250",0,"POLSKA","wieś","mężczyźni","nowotwory złośliwe",2024,263.84,"-",NA,NA
"251",0,"POLSKA","wieś","mężczyźni","nowotwór złośliwy żołądka",2024,13.86,"-",NA,NA
"252",0,"POLSKA","wieś","mężczyźni","nowotwór złośliwy trzustki",2024,12.04,"-",NA,NA
"253",0,"POLSKA","wieś","mężczyźni","nowotwór złośliwy tchawicy, oskrzela i płuca",2024,67.17,"-",NA,NA
"254",0,"POLSKA","wieś","mężczyźni","nowotwór złośliwy sutka",2024,0.32,"-",NA,NA
